시도,고령화율,사업체수,인구천명당사업체수,총인구
경기도,10.36,69738.0,192.32,362615
경기도,11.57,245958.0,248.69,989030
울산광역시,12.89,31367.0,145.67,215330
경기도,12.94,43085.0,173.55,248264
광주광역시,13.0,76078.0,195.97,388211
대전광역시,13.31,73330.0,199.84,366949
경기도,13.68,136301.0,264.69,514945
인천광역시,13.9,87441.0,213.71,409164
경상북도,14.07,71461.0,176.84,404093
경상남도,14.27,46008.0,186.64,246509
경기도,14.56,144154.0,236.76,608863
인천광역시,15.23,137072.0,237.73,576581
부산광역시,15.24,51432.0,343.77,149613
충청남도,15.67,73335.0,204.26,359031
경기도,15.87,58762.0,157.0,374284
경기도,15.88,16562.0,207.36,79869
경기도,16.08,103148.0,355.74,289955
경기도,16.17,64871.0,179.58,361233
경상남도,16.19,106985.0,200.7,533064
경기도,16.26,77752.0,235.95,329531
충청남도,16.3,6093.0,132.58,45958
경상남도,16.34,41631.0,182.51,228108
인천광역시,16.35,55745.0,316.94,175883
경기도,16.48,87071.0,265.56,327881
경기도,16.52,107877.0,229.6,469840
경기도,16.79,136466.0,281.48,484811
서울특별시,17.07,228808.0,411.39,556180
경기도,17.09,56555.0,175.03,323124
경기도,17.14,119820.0,228.41,524585
서울특별시,17.21,110663.0,309.02,358111
전라남도,17.31,29343.0,189.09,155183
대전광역시,17.37,87433.0,188.52,463776
서울특별시,17.39,147085.0,355.71,413498
경기도,17.46,94593.0,269.85,350540
경기도,17.77,84510.0,285.14,296380
울산광역시,17.87,63260.0,207.95,304202
경기도,17.92,38809.0,143.0,271386
경기도,18.31,54346.0,195.41,278107
경기도,18.34,50205.0,261.31,192131
대구광역시,18.37,39824.0,394.51,100946
서울특별시,18.41,153149.0,237.8,644015
제주특별자치도,18.46,129765.0,267.44,485212
경기도,18.47,59306.0,200.51,295771
경기도,18.53,56304.0,193.2,291423
경기도,18.66,49958.0,223.59,223438
서울특별시,18.75,66589.0,200.89,331475
경기도,18.86,157568.0,231.11,681786
경상남도,18.97,70264.0,194.63,361019
경기도,19.04,44930.0,241.54,186015
경기도,19.08,102440.0,210.82,485906
경기도,19.1,27169.0,170.07,159752
서울특별시,19.13,145019.0,390.2,371650
대구광역시,19.15,45561.0,221.11,206052
경기도,19.16,95564.0,248.11,385175
서울특별시,19.21,72530.0,151.79,477846
서울특별시,19.33,73075.0,266.16,274550
광주광역시,19.39,63819.0,231.63,275521
서울특별시,19.53,79222.0,158.73,499108
경기도,19.59,83946.0,303.37,276709
경상남도,19.63,27484.0,148.58,184984
울산광역시,19.67,18165.0,121.45,149566
경기도,19.71,47486.0,188.63,251738
서울특별시,19.71,65095.0,322.02,202145
서울특별시,19.75,68784.0,161.54,425801
경기도,19.76,66717.0,289.68,230310
경상남도,19.87,42747.0,206.06,207451
