시군구,농림어업,광업,제조업,전기가스,수도하수,건설업,도소매업,운수창고업,숙박음식업,정보통신업,금융보험업,부동산업,전문과학기술,사업시설관리,공공행정,교육서비스,보건복지,예술스포츠,협회개인서비스,총사업체수
구미시,452,26.0,7376,1435.0,135,4543,14101,5157,8029,728,516,13152,1379,1636,53,2956,1730,1417,6524,71461
경주시,1407,39.0,5944,962.0,173,3424,9859,3183,8891,370,247,7508,968,1106,50,1463,1486,934,7098,55287
경산시,523,9.0,4966,942.0,128,2929,11134,3771,5058,551,266,8978,1206,925,32,1627,1351,846,4793,50108
포항시 북구,863,10.0,1630,547.0,57,4297,11027,2711,5793,389,299,8323,978,804,44,1867,1343,851,5392,47417
포항시 남구,1170,16.0,2543,186.0,102,3473,8840,4934,5843,372,305,6799,923,785,36,1341,1062,777,4873,44511
안동시,825,23.0,1295,2595.0,49,3345,6461,2055,3819,327,217,4995,682,558,50,1001,1124,632,5107,35228
칠곡군,313,11.0,5048,797.0,111,1508,5778,2003,2519,143,81,4209,343,585,21,563,629,425,2296,27422
김천시,748,30.0,1534,2008.0,86,1800,4757,1698,2750,205,142,4831,413,378,65,765,1019,392,3284,26935
영주시,429,10.0,962,2039.0,39,2185,4397,1187,2390,120,99,2571,298,267,33,556,713,311,3826,22512
영천시,745,5.0,2671,1352.0,140,1642,4145,1952,2005,108,90,2211,295,331,30,415,855,272,3043,22345
상주시,906,18.0,1327,3609.0,46,1916,3341,1321,1889,129,87,1912,409,233,42,463,1002,250,2892,21921
문경시,644,10.0,797,1086.0,32,1303,2880,573,1894,84,60,1635,211,219,34,344,713,213,2441,15209
예천군,420,7.0,405,2409.0,24,620,1701,343,1057,70,50,1797,154,136,28,342,360,149,2236,12332
성주군,500,8.0,2276,687.0,66,833,1878,1063,1076,35,46,1056,139,141,23,129,428,104,1214,11710
의성군,594,6.0,541,1679.0,32,1060,1740,1021,903,66,56,668,149,123,32,149,660,105,1976,11578
울진군,769,17.0,336,145.0,18,778,2000,261,1604,51,36,951,103,158,27,230,215,178,2104,10052
영덕군,901,20.0,402,1116.0,13,817,1805,233,1464,37,52,850,103,85,28,128,426,133,1343,9973
청도군,446,3.0,596,435.0,18,430,1532,767,1357,47,35,716,151,126,22,158,510,124,1721,9220
고령군,246,5.0,1978,469.0,66,625,1489,644,628,36,23,906,95,104,18,98,330,95,924,8792
봉화군,391,9.0,283,1433.0,22,538,977,138,754,32,24,364,107,52,23,82,337,83,1387,7053
청송군,755,8.0,248,405.0,6,302,1086,175,775,29,26,347,46,59,23,74,305,56,916,5648
영양군,262,,125,903.0,5,379,533,82,316,22,14,158,48,35,16,52,265,30,482,3730
울릉군,154,0.0,115,,6,147,430,88,557,11,10,432,19,63,17,24,41,27,257,2404
